Batch Name (Spark 3.0.1)	Rule Name	Rule Strategy
Eliminate Distinct	org.apache.spark.sql.catalyst.optimizer.EliminateDistinct	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.EliminateResolvedHint	Once
Finish Analysis	org.apache.spark.sql.catalyst.analysis.EliminateSubqueryAliases	Once
Finish Analysis	org.apache.spark.sql.catalyst.analysis.EliminateView	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.ReplaceExpressions	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.RewriteNonCorrelatedExists	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.ComputeCurrentTime	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.GetCurrentDatabase	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.RewriteDistinctAggregates	Once
Finish Analysis	org.apache.spark.sql.catalyst.optimizer.ReplaceDeduplicateWithAggregate	Once
Union	org.apache.spark.sql.catalyst.optimizer.CombineUnions	Once
OptimizeLimitZero	org.apache.spark.sql.catalyst.optimizer.OptimizeLimitZero	Once
LocalRelation early	org.apache.spark.sql.catalyst.optimizer.ConvertToLocalRelation	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
LocalRelation early	org.apache.spark.sql.catalyst.optimizer.PropagateEmptyRelation	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Pullup Correlated Expressions	org.apache.spark.sql.catalyst.optimizer.PullupCorrelatedPredicates	Once
Subquery	org.apache.spark.sql.catalyst.optimizer.Optimizer$OptimizeSubqueries	FixedPoint(1,false,null)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.RewriteExceptAll	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.RewriteIntersectAll	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.ReplaceIntersectWithSemiJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.ReplaceExceptWithFilter	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.ReplaceExceptWithAntiJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Replace Operators	org.apache.spark.sql.catalyst.optimizer.ReplaceDistinctWithAggregate	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Aggregate	org.apache.spark.sql.catalyst.optimizer.RemoveLiteralFromGroupExpressions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Aggregate	org.apache.spark.sql.catalyst.optimizer.RemoveRepetitionFromGroupExpressions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushProjectionThroughUnion	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ReorderJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.EliminateOuterJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushDownPredicates	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushDownLeftSemiAntiJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
